Administrative Assistant,مساعد اداري,
Reporter,مراسل,
Information Technology Specialist,أخصائي تقنية المعلومات,
Administrative,اداري,
Senior News Editor,محرر خبري أول,
Administrative Manager,مدير إدارة,
Sound Technician,فني صوت,
Presenter,مقدم برامج,
Coordinator,منسق,
Announcer,مذيع,
Media Assistance,مساعدة اعلامية,
Program Coordinator,منسق برامج,
Recording Technician,فني تسجيل,
Researcher,باحث,
Senior Procurement Specialist,اخصائي مشتريات أول,
Internal Auditor,مراجع داخلي,
Specialist,أخصائي,
Presenters,معد,
Archive Technician,فني أرشفه,
Public Relations Administrator,اداري علاقات عامه,
Budget Specialist,أخصائي ميزانية,
Content Writer,كاتب محتوى,
Supervisor of the Executive Office,المشرف على المكتب التنفيذي,
Senior Technical Support,دعم فني أول,
Software Product,منتج برامج,
Consultant,مستشار,
Marketing Consultant,مستشار تسويق,
Organizational Development Manager,مدير التطوير التنظيمي,
Project Manager,مدير مشروع,
The Consultant and general supervisor of the Business Development and Strategic Partnerships Department,المستشار والمشرف العام على إدارة تطوير الاعمال والشراكات الاستراتيجية,
Director of Technical Affairs,مدير الشؤون الفنية,
Unit Manager,مدير وحدة,
Director of Project Management,مدير إدارة المشاريع,
Media Consultant,مستشار أعلامي,
On-Call Consultant,مستشار تحت الطلب,
General Supervisor,المشرف العام,
Legal Researcher,باحث قانوني,
Public Relations and Media Specialist,اخصائي علاقات عامة واعلام,
HR Unit Manager,مدير وحدة الموارد البشرية,
HR Senior Specialist,أخصائي أول موارد بشرية,
Sales Specialist,أخصائي مبيعات,
Executive Secretary,سكرتير تنفيذي,
Sales Specialist,أخصائي مبيعات,
Legal Consultant,مستشار قانوني,
Contracts and Procurement Consultant,مستشار عقود ومشتريات,
Project Coordinator,منسق مشروع,
Tender and Procurement Specialist,اخصائي مناقصات ومشتريات,
Job Title,المسمى الوظيفي,
Job Application,نموذج طلب التوظيف,
Applicant Name,أسم مقدم الطلب,
Phone Number,رقم الجوال,
Upload Resume,ارفاق السيرة الذاتية,
Email Address,البريد الإلكتروني,
Years of Experience,سنوات الخبرة,
Cover Letter,محتويات الرسالة المرفقة,
Log Out,خروج,
Change Language,تغير اللغة,
My Settings,اعداداتي,
My Profile,ملفي,
Toggle Full Width,التبديل إلى العرض الكامل,
Toggle Theme,تبديل السمة,
Search or type a command (Ctrl  + G),ابحث أو اكتب أمر (Ctrl + G),
Your Shortcuts,اختصاراتي,
Reports & Masters,التقارير,
Interview Summary,ملخص المقابلة,
Summary and Rating,الملخص والتقييم,
Applicant Rating,تقييم المتقدم,
No Iterview has been scheduled,لم يتم جدولة المقابلة,
